SeqName	SeqDesc	GOTerms	Enzymes	KeggMaps
gene17043	---NA---			
gene17044	---NA---			
gene18035	---NA---			
gene17614	---NA---			
gene17615	---NA---			
gene17616	---NA---			
gene17618	---NA---			
gene17623	---NA---			
gene17820	---NA---			
gene17408	---NA---			
gene17409	---NA---			
gene17410	---NA---			
gene17414	---NA---			
gene17250	---NA---			
gene17253	---NA---			
gene18056	---NA---			
gene13415	---NA---			
gene13435	---NA---			
gene13430	---NA---			
gene16588	---NA---			
gene17524	---NA---			
gene14791	---NA---			
gene14806	---NA---			
gene18016	---NA---			
gene16073	---NA---			
gene16075	---NA---			
gene17679	---NA---			
gene17163	---NA---			
gene17121	---NA---			
gene17123	---NA---			
gene17125	---NA---			
gene17128	---NA---			
gene17646	---NA---			
gene17658	---NA---			
gene17892	---NA---			
gene17893	---NA---			
gene16932	---NA---			
gene16941	---NA---			
gene17950	---NA---			
gene17952	---NA---			
gene16502	---NA---			
gene16505	---NA---			
gene16507	---NA---			
gene16514	---NA---			
gene17320	---NA---			
gene17328	---NA---			
gene17971	---NA---			
gene17866	---NA---			
gene17515	---NA---			
gene17516	---NA---			
gene17471	---NA---			
gene16002	---NA---			
gene16005	---NA---			
gene16008	---NA---			
gene16011	---NA---			
gene17898	---NA---			
gene17870	---NA---			
gene17822	---NA---			
gene17918	---NA---			
gene17284	---NA---			
gene17937	---NA---			
gene16829	---NA---			
gene16831	---NA---			
gene16835	---NA---			
gene16843	---NA---			
gene17538	---NA---			
gene18122	---NA---			
gene17845	---NA---			
gene16185	---NA---			
gene16189	---NA---			
gene16192	---NA---			
gene18040	---NA---			
gene16311	---NA---			
gene16317	---NA---			
gene17216	---NA---			
gene17685	---NA---			
gene17233	---NA---			
gene16372	---NA---			
gene18229	---NA---			
gene18022	---NA---			
gene18023	---NA---			
gene15913	---NA---			
gene15917	---NA---			
gene15919	---NA---			
gene18029	---NA---			
gene18094	---NA---			
gene15482	---NA---			
gene15499	---NA---			
gene16018	---NA---			
gene1734	---NA---			
gene18116	---NA---			
gene16981	---NA---			
gene18119	---NA---			
gene17008	---NA---			
gene18018	---NA---			
gene17015	---NA---			
gene17995	---NA---			
gene18245	---NA---			
gene17005	---NA---			
gene18436	---NA---			
gene17925	---NA---			
gene18111	---NA---			
gene17696	---NA---			
gene14801	---NA---			
gene18320	---NA---			
gene18271	---NA---			
gene18362	---NA---			
gene18085	---NA---			
gene15429	---NA---			
gene15456	---NA---			
gene15457	---NA---			
gene10303	---NA---			
gene10327	---NA---			
gene10339	---NA---			
gene8077	---NA---	extracellular region;chitin binding;chitin metabolic process		
gene8108	---NA---			
gene8126	---NA---			
gene8138	---NA---			
gene9423	---NA---			
gene9462	---NA---			
gene10090	---NA---			
gene10105	---NA---			
gene15703	---NA---			
gene10591	---NA---			
gene10593	---NA---			
gene10599	---NA---			
gene10598	---NA---			
gene10608	---NA---			
gene10619	---NA---			
gene10625	---NA---			
gene7513	---NA---			
gene10661	---NA---			
gene10667	---NA---			
gene16985	---NA---			
gene4717	---NA---			
gene4735	---NA---			
gene4774	---NA---			
gene4780	---NA---			
gene17913	---NA---			
gene4789	---NA---			
gene4792	---NA---			
gene4814	---NA---			
gene4818	---NA---			
gene18244	---NA---			
gene4842	---NA---			
gene4844	---NA---			
gene4848	---NA---			
gene4855	---NA---			
gene12435	---NA---			
gene17721	---NA---			
gene12438	---NA---			
gene12445	---NA---			
gene16174	---NA---			
gene13116	---NA---			
gene13121	---NA---			
gene13125	---NA---			
gene13124	---NA---			
gene13129	---NA---			
gene13127	---NA---			
gene13128	---NA---			
gene13142	---NA---			
gene13145	---NA---			
gene13165	---NA---			
gene14043	---NA---			
gene14048	---NA---			
gene14051	---NA---			
gene14052	---NA---			
gene14054	---NA---			
gene14057	---NA---			
gene14058	---NA---			
gene2403	---NA---			
gene2448	---NA---			
gene2451	---NA---			
gene2485	---NA---			
gene2497	---NA---			
gene2503	---NA---			
gene2504	---NA---			
gene2531	---NA---			
gene2534	---NA---			
gene2537	---NA---			
gene2542	---NA---			
gene2558	---NA---			
gene10367	---NA---			
gene10375	---NA---			
gene10380	---NA---			
gene10387	---NA---			
gene10390	---NA---			
gene10397	---NA---			
gene10408	---NA---			
gene10412	---NA---			
gene10413	---NA---			
gene10421	---NA---			
gene10428	---NA---			
gene10430	---NA---			
gene10447	---NA---			
gene17753	---NA---			
gene12043	---NA---			
gene12460	---NA---			
gene2199	---NA---			
gene2241	---NA---			
gene2242	---NA---			
gene2263	---NA---			
gene2265	---NA---			
gene2284	---NA---			
gene2285	---NA---			
gene2293	---NA---			
gene2294	---NA---			
gene2295	---NA---			
gene2296	---NA---			
gene2319	---NA---			
gene2320	---NA---			
gene2321	---NA---			
gene2342	---NA---			
gene2345	---NA---			
gene2359	---NA---			
gene1624	---NA---			
gene2374	---NA---			
gene2377	---NA---			
gene2378	---NA---			
gene2382	---NA---			
gene2392	---NA---			
gene2630	---NA---			
gene2654	---NA---			
gene2669	---NA---			
gene2677	---NA---			
gene2683	---NA---			
gene2720	---NA---			
gene2689	---NA---			
gene2690	---NA---			
gene2718	---NA---			
gene2728	---NA---			
gene2733	---NA---			
gene8282	---NA---			
gene8283	---NA---			
gene8292	---NA---			
gene11775	---NA---			
gene11780	---NA---			
gene11825	---NA---			
gene11829	---NA---			
gene11833	---NA---			
gene11834	---NA---			
gene4588	---NA---			
gene4631	---NA---			
gene4632	---NA---			
gene4653	---NA---			
gene16194	---NA---			
gene11858	---NA---			
gene11860	---NA---			
gene11879	---NA---			
gene11876	---NA---			
gene14672	---NA---			
gene14685	---NA---			
gene14692	---NA---			
gene12217	---NA---			
gene9867	---NA---			
gene12220	---NA---			
gene12228	---NA---			
gene12238	---NA---			
gene12245	---NA---			
gene12250	---NA---			
gene12260	---NA---			
gene12266	---NA---			
gene12269	---NA---			
gene12955	---NA---			
gene12967	---NA---			
gene12988	---NA---			
gene12996	---NA---			
gene12999	---NA---			
gene17396	---NA---			
gene12645	---NA---			
gene16758	---NA---			
gene16770	---NA---			
gene5268	---NA---			
gene5271	---NA---			
gene5304	---NA---			
gene4456	---NA---			
gene4462	---NA---			
gene4467	---NA---			
gene4513	---NA---			
gene4542	---NA---			
gene4544	---NA---			
gene4552	---NA---			
gene4559	---NA---			
gene17599	---NA---			
gene17362	---NA---			
gene5669	---NA---			
gene5674	---NA---			
gene5689	---NA---			
gene5698	---NA---			
gene5707	---NA---			
gene5726	---NA---			
gene5732	---NA---			
gene5737	---NA---			
gene5738	---NA---			
gene5744	---NA---			
gene10138	---NA---			
gene10160	---NA---			
gene10168	---NA---			
gene10174	---NA---			
gene10191	---NA---			
gene10203	---NA---			
gene13258	---NA---			
gene13273	---NA---			
gene13281	---NA---			
gene13282	---NA---			
gene13284	---NA---			
gene13289	---NA---			
gene13300	---NA---			
gene3469	---NA---			
gene3470	---NA---			
gene3497	---NA---			
gene3499	---NA---			
gene5948	---NA---			
gene11015	---NA---			
gene11063	---NA---			
gene8987	---NA---			
gene8995	---NA---			
gene9008	---NA---			
gene12909	---NA---			
gene12913	---NA---			
gene12916	---NA---			
gene13897	---NA---			
gene13913	---NA---			
gene13925	---NA---			
gene13927	---NA---			
gene13928	---NA---			
gene4159	---NA---			
gene4162	---NA---			
gene4190	---NA---			
gene4192	---NA---			
gene4210	---NA---			
gene10573	---NA---			
gene10574	---NA---			
gene14474	---NA---			
gene8676	---NA---			
gene8681	---NA---			
gene8685	---NA---			
gene8688	---NA---			
gene8695	---NA---			
gene8696	---NA---			
gene8707	---NA---			
gene8709	---NA---			
gene8710	---NA---			
gene8711	---NA---			
gene8715	---NA---			
gene8720	---NA---			
gene8726	---NA---			
gene8742	---NA---			
gene8746	---NA---			
gene8754	---NA---			
gene8756	---NA---			
gene8757	---NA---			
gene8758	---NA---			
gene8764	---NA---			
gene17771	---NA---			
gene8771	---NA---			
gene8775	---NA---			
gene8776	---NA---			
gene8780	---NA---			
gene9383	---NA---			
gene9398	---NA---			
gene9399	---NA---			
gene9409	---NA---			
gene9410	---NA---			
gene9416	---NA---			
gene11372	---NA---			
gene11397	---NA---			
gene17632	---NA---	sequence-specific DNA binding		
gene17633	---NA---			
gene17634	---NA---			
gene11449	---NA---			
gene11490	---NA---			
gene11494	---NA---			
gene14750	---NA---			
gene14760	---NA---			
gene14761	---NA---			
gene14762	---NA---			
gene9208	---NA---			
gene9250	---NA---			
gene9273	---NA---			
gene13174	---NA---			
gene14430	---NA---			
gene14431	---NA---			
gene13583	---NA---			
gene13585	---NA---			
gene16327	---NA---			
gene8783	---NA---			
gene8796	---NA---			
gene8823	---NA---			
gene8838	---NA---			
gene3253	---NA---			
gene3260	---NA---			
gene3263	---NA---			
gene3272	---NA---			
gene3307	---NA---			
gene3314	---NA---			
gene3339	---NA---			
gene3390	---NA---			
gene3394	---NA---			
gene3398	---NA---			
gene3406	---NA---			
gene3414	---NA---			
gene3432	---NA---			
gene14498	---NA---			
gene10685	---NA---			
gene10688	---NA---			
gene10717	---NA---			
gene10718	---NA---			
gene10720	---NA---			
gene10722	---NA---			
gene11853	---NA---			
gene11856	---NA---			
gene17082	---NA---			
gene16681	---NA---			
gene17147	---NA---			
gene12021	---NA---			
gene16720	---NA---			
gene16723	---NA---			
gene16726	---NA---			
gene16730	---NA---			
gene16734	---NA---			
gene8889	---NA---			
gene8904	---NA---			
gene8920	---NA---			
gene8926	---NA---			
gene17139	---NA---			
gene8928	---NA---			
gene8932	---NA---			
gene15954	---NA---			
gene4662	---NA---			
gene4670	---NA---			
gene4671	---NA---			
gene4675	---NA---			
gene5959	---NA---			
gene5968	---NA---			
gene5980	---NA---			
gene10738	---NA---			
gene10741	---NA---			
gene10746	---NA---			
gene16544	---NA---			
gene15250	---NA---			
gene8505	---NA---			
gene14250	---NA---	nucleic acid binding		
gene8602	---NA---			
gene8610	---NA---			
gene8645	---NA---			
gene8646	---NA---			
gene5028	---NA---			
gene5094	---NA---			
gene5095	---NA---			
gene5097	---NA---			
gene5114	---NA---			
gene3991	---NA---			
gene887	---NA---			
gene913	---NA---			
gene914	---NA---			
gene946	---NA---			
gene915	---NA---			
gene920	---NA---			
gene948	---NA---			
gene961	---NA---			
gene982	---NA---			
gene985	---NA---			
gene1003	---NA---			
gene1024	---NA---			
gene1035	---NA---			
gene1049	---NA---			
gene1053	---NA---			
gene1054	---NA---			
gene1057	---NA---			
gene1062	---NA---			
gene1106	---NA---			
gene1107	---NA---			
gene1108	---NA---			
gene1115	---NA---			
gene1118	---NA---			
gene6867	---NA---			
gene6876	---NA---			
gene12065	---NA---			
gene12068	---NA---			
gene12084	---NA---			
gene12571	---NA---			
gene5368	---NA---			
gene5387	---NA---			
gene10467	---NA---			
gene10469	---NA---			
gene10478	---NA---			
gene10496	---NA---			
gene10501	---NA---			
gene10514	---NA---			
gene15051	---NA---			
gene7883	---NA---			
gene7915	---NA---			
gene7916	---NA---			
gene16705	---NA---			
gene12341	---NA---			
gene12348	---NA---			
gene12363	---NA---			
gene12365	---NA---			
gene13479	---NA---			
gene13484	---NA---			
gene13498	---NA---			
gene13505	---NA---			
gene13511	---NA---			
gene13529	---NA---			
gene15670	---NA---			
gene15631	---NA---			
gene15634	---NA---			
gene15636	---NA---			
gene15645	---NA---			
gene15647	---NA---			
gene15653	---NA---			
gene15656	---NA---			
gene15657	---NA---			
gene15658	---NA---			
gene4066	---NA---			
gene4083	---NA---			
gene4102	---NA---			
gene4134	---NA---			
gene4140	---NA---			
gene4146	---NA---			
gene4150	---NA---			
gene14726	---NA---			
gene13011	---NA---			
gene13018	---NA---			
gene13036	---NA---			
gene17735	---NA---			
gene17736	---NA---			
gene16768	---NA---			
gene7600	---NA---			
gene7625	---NA---			
gene7650	---NA---			
gene13319	---NA---			
gene12685	---NA---			
gene12686	---NA---			
gene12688	---NA---			
gene12397	---NA---			
gene8187	---NA---			
gene8188	---NA---			
gene8189	---NA---			
gene8190	---NA---			
gene8197	---NA---			
gene8206	---NA---			
gene8207	---NA---			
gene8210	---NA---			
gene8217	---NA---			
gene12500	---NA---			
gene12502	---NA---			
gene9286	---NA---			
gene9294	---NA---			
gene9328	---NA---			
gene9336	---NA---			
gene15325	---NA---			
gene15328	---NA---			
gene15330	---NA---			
gene15337	---NA---			
gene15338	---NA---			
gene15342	---NA---			
gene15345	---NA---			
gene15346	---NA---			
gene14386	---NA---			
gene13207	---NA---			
gene17910	---NA---			
gene13213	---NA---			
gene11905	---NA---			
gene11904	---NA---			
gene11911	---NA---			
gene11912	---NA---			
gene11913	---NA---			
gene11916	---NA---			
gene11920	---NA---			
gene11921	---NA---			
gene9127	---NA---			
gene9137	---NA---			
gene9170	---NA---			
gene9180	---NA---			
gene9193	---NA---			
gene9194	---NA---			
gene9202	---NA---			
gene12393	---NA---			
gene15220	---NA---			
gene15221	---NA---			
gene3071	---NA---			
gene3089	---NA---			
gene3091	---NA---			
gene3104	---NA---			
gene3172	---NA---			
gene3174	---NA---			
gene3178	---NA---			
gene3179	---NA---			
gene15871	---NA---			
gene15878	---NA---			
gene14658	---NA---			
gene14664	---NA---			
gene807	---NA---			
gene811	---NA---			
gene812	---NA---			
gene840	---NA---			
gene841	---NA---			
gene852	---NA---			
gene860	---NA---			
gene886	---NA---			
gene11240	---NA---			
gene11262	---NA---			
gene11265	---NA---			
gene11286	---NA---	carbohydrate metabolic process		
gene11292	---NA---			
gene12151	---NA---			
gene12183	---NA---			
gene12186	---NA---			
gene12198	---NA---			
gene12203	---NA---			
gene12206	---NA---			
gene12209	---NA---			
gene12213	---NA---			
gene12495	---NA---			
gene15467	---NA---			
gene14733	---NA---			
gene14738	---NA---			
gene11704	---NA---			
gene11706	---NA---			
gene11758	---NA---			
gene11759	---NA---			
gene11766	---NA---			
gene11769	---NA---			
gene17625	---NA---			
gene13879	---NA---			
gene9687	---NA---			
gene4043	---NA---			
gene3788	---NA---			
gene3792	---NA---			
gene3807	---NA---			
gene3832	---NA---			
gene3833	---NA---			
gene3842	---NA---			
gene3861	---NA---			
gene3862	---NA---			
gene3864	---NA---			
gene3891	---NA---			
gene3895	---NA---			
gene3900	---NA---			
gene3905	---NA---			
gene3920	---NA---			
gene3928	---NA---			
gene3951	---NA---			
gene3964	---NA---			
gene3979	---NA---			
gene3981	---NA---			
gene14134	---NA---			
gene14137	---NA---			
gene5778	---NA---			
gene5779	---NA---			
gene5782	---NA---			
gene5791	---NA---			
gene5805	---NA---			
gene5808	---NA---			
gene5812	---NA---			
gene5827	---NA---			
gene5829	---NA---			
gene15648	---NA---			
gene5837	---NA---			
gene5846	---NA---			
gene5857	---NA---			
gene15861	---NA---			
gene15868	---NA---			
gene15869	---NA---			
gene18421	---NA---			
gene15601	---NA---			
gene15594	---NA---			
gene15605	---NA---			
gene15612	---NA---			
gene15620	---NA---			
gene1846	---NA---			
gene1868	---NA---			
gene1877	---NA---			
gene1890	---NA---			
gene1899	---NA---			
gene1903	---NA---			
gene1907	---NA---			
gene1910	---NA---			
gene1914	---NA---			
gene1915	---NA---			
gene1916	---NA---			
gene1995	---NA---			
gene1938	---NA---			
gene1976	---NA---			
gene1981	---NA---			
gene1991	---NA---			
gene2007	---NA---			
gene2031	---NA---			
gene2010	---NA---			
gene2025	---NA---			
gene2083	---NA---			
gene14165	---NA---			
gene17826	---NA---			
gene14192	---NA---			
gene14197	---NA---			
gene14201	---NA---			
gene5407	---NA---			
gene5413	---NA---			
gene5414	---NA---			
gene5423	---NA---			
gene5427	---NA---			
gene5433	---NA---			
gene5435	---NA---			
gene5444	---NA---			
gene5457	---NA---			
gene5472	---NA---			
gene5479	---NA---			
gene5516	---NA---			
gene5545	---NA---			
gene5556	---NA---			
gene5558	---NA---			
gene5561	---NA---			
gene11071	---NA---			
gene16209	---NA---			
gene16234	---NA---			
gene9872	---NA---			
gene9874	---NA---			
gene10208	---NA---			
gene10217	---NA---			
gene10224	---NA---			
gene10233	---NA---			
gene10246	---NA---			
gene6900	---NA---			
gene6907	---NA---			
gene6911	---NA---			
gene6919	---NA---			
gene6934	---NA---			
gene6936	---NA---			
gene6940	---NA---			
gene6942	---NA---			
gene6943	---NA---			
gene6950	---NA---			
gene6450	---NA---			
gene6452	---NA---			
gene6458	---NA---			
gene6465	---NA---			
gene6466	---NA---			
gene6467	---NA---			
gene6469	---NA---			
gene6471	---NA---			
gene6481	---NA---			
gene6487	---NA---			
gene6493	---NA---			
gene6499	---NA---			
gene17953	---NA---			
gene6505	---NA---			
gene6512	---NA---			
gene6517	---NA---			
gene6519	---NA---			
gene6522	---NA---			
gene6523	---NA---			
gene3698	---NA---			
gene6530	---NA---			
gene6555	---NA---			
gene6560	---NA---			
gene6577	---NA---			
gene6579	---NA---			
gene6587	---NA---			
gene16092	---NA---			
gene16093	---NA---			
gene16094	---NA---			
gene8941	---NA---			
gene8969	---NA---			
gene6299	---NA---			
gene6302	---NA---			
gene6309	---NA---			
gene6312	---NA---			
gene6326	---NA---			
gene6358	---NA---			
gene6359	---NA---			
gene6375	---NA---			
gene6385	---NA---			
gene6390	---NA---			
gene6391	---NA---			
gene6399	---NA---			
gene6402	---NA---			
gene6408	---NA---			
gene6427	---NA---			
gene16764	---NA---			
gene7469	---NA---			
gene7486	---NA---			
gene7504	---NA---			
gene7506	---NA---			
gene12283	---NA---			
gene12284	---NA---			
gene12309	---NA---			
gene12325	---NA---			
gene14003	---NA---			
gene14015	---NA---			
gene15079	---NA---			
gene15081	---NA---			
gene15086	---NA---			
gene15088	---NA---			
gene15104	---NA---			
gene15106	---NA---			
gene13717	---NA---			
gene13727	---NA---			
gene13726	---NA---			
gene13745	---NA---			
gene10847	---NA---			
gene10854	---NA---			
gene10908	---NA---			
gene10910	---NA---			
gene10919	---NA---			
gene2153	---NA---			
gene10922	---NA---			
gene16972	---NA---			
gene16975	---NA---			
gene16976	---NA---			
gene4851	---NA---			
gene4234	---NA---			
gene4241	---NA---			
gene4252	---NA---			
gene4256	---NA---			
gene4262	---NA---			
gene4264	---NA---			
gene4271	---NA---			
gene4275	---NA---			
gene4280	---NA---			
gene18326	---NA---			
gene4291	---NA---			
gene4292	---NA---			
gene4302	---NA---			
gene4298	---NA---			
gene4299	---NA---			
gene4307	---NA---			
gene4319	---NA---			
gene4326	---NA---			
gene4350	---NA---			
gene3675	---NA---			
gene3687	---NA---			
gene3694	---NA---			
gene3699	---NA---			
gene3740	---NA---			
gene3750	---NA---	nucleus;sequence-specific DNA binding transcription factor activity;zinc ion binding;sequence-specific DNA binding;regulation of transcription, DNA-templated;transcription factor complex;regulation of transcription, DNA-templated		
gene3770	---NA---			
gene3780	---NA---			
gene3786	---NA---			
gene5149	---NA---			
gene5155	---NA---			
gene5156	---NA---			
gene5163	---NA---			
gene5180	---NA---			
gene5218	---NA---			
gene5223	---NA---			
gene15272	---NA---			
gene15284	---NA---			
gene15313	---NA---			
gene15315	---NA---			
gene11167	---NA---			
gene13122	---NA---			
gene11173	---NA---			
gene11186	---NA---			
gene11181	---NA---			
gene11192	---NA---			
gene11194	---NA---			
gene11197	---NA---			
gene11206	---NA---			
gene11207	---NA---			
gene11211	---NA---			
gene11213	---NA---			
gene11224	---NA---			
gene11229	---NA---			
gene11232	---NA---			
gene11234	---NA---			
gene9791	---NA---			
gene9796	---NA---			
gene9801	---NA---			
gene9803	---NA---			
gene9804	---NA---			
gene9813	---NA---			
gene9831	---NA---			
gene9832	---NA---			
gene9868	---NA---			
gene1129	---NA---			
gene1133	---NA---			
gene1152	---NA---			
gene1167	---NA---			
gene11763	---NA---			
gene1175	---NA---			
gene1178	---NA---			
gene1184	---NA---			
gene1194	---NA---			
gene1209	---NA---			
gene1250	---NA---			
gene1258	---NA---			
gene1259	---NA---			
gene1262	---NA---			
gene1271	---NA---			
gene1287	---NA---			
gene1317	---NA---			
gene1323	---NA---			
gene1325	---NA---			
gene1327	---NA---			
gene1349	---NA---			
gene1350	---NA---			
gene1373	---NA---			
gene1376	---NA---			
gene11566	---NA---			
gene12795	---NA---			
gene12806	---NA---			
gene12814	---NA---			
gene12835	---NA---			
gene15006	---NA---			
gene15011	---NA---			
gene10930	---NA---			
gene6177	---NA---			
gene6180	---NA---			
gene6191	---NA---			
gene16444	---NA---			
gene7266	---NA---			
gene7311	---NA---			
gene7326	---NA---			
gene7334	---NA---			
gene7342	---NA---			
gene9756	---NA---			
gene9779	---NA---			
gene13367	---NA---			
gene13377	---NA---			
gene14166	---NA---			
gene13391	---NA---			
gene12668	---NA---			
gene4860	---NA---			
gene4875	---NA---			
gene4883	---NA---			
gene4898	---NA---			
gene4902	---NA---			
gene4903	---NA---			
gene4918	---NA---			
gene4919	---NA---			
gene18233	---NA---			
gene4991	---NA---			
gene5000	---NA---			
gene5006	---NA---			
gene5008	---NA---			
gene505	---NA---			
gene516	---NA---			
gene519	---NA---			
gene521	---NA---			
gene534	---NA---			
gene542	---NA---			
gene551	---NA---			
gene562	---NA---			
gene571	---NA---			
gene572	---NA---			
gene575	---NA---			
gene579	---NA---			
gene584	---NA---			
gene618	---NA---			
gene619	---NA---			
gene633	---NA---			
gene642	---NA---			
gene649	---NA---			
gene688	---NA---			
gene689	---NA---			
gene704	---NA---			
gene726	---NA---			
gene736	---NA---			
gene775	---NA---			
gene781	---NA---			
gene794	---NA---			
gene797	---NA---			
gene806	---NA---			
gene16690	---NA---			
gene16692	---NA---			
gene16693	---NA---			
gene16694	---NA---			
gene16688	---NA---			
gene16696	---NA---			
gene13078	---NA---			
gene13085	---NA---			
gene13088	---NA---			
gene13111	---NA---			
gene7429	---NA---			
gene7433	---NA---			
gene7445	---NA---			
gene7450	---NA---			
gene16691	---NA---			
gene16695	---NA---			
gene16697	---NA---			
gene9608	---NA---			
gene9621	---NA---			
gene9647	---NA---			
gene12712	---NA---			
gene12732	---NA---			
gene7935	---NA---			
gene7937	---NA---			
gene7938	---NA---			
gene7946	---NA---			
gene7947	---NA---			
gene7951	---NA---			
gene7956	---NA---			
gene7965	---NA---			
gene7985	---NA---			
gene7995	---NA---			
gene7996	---NA---			
gene8006	---NA---			
gene8009	---NA---			
gene8012	---NA---			
gene8013	---NA---			
gene334	---NA---			
gene344	---NA---			
gene342	---NA---			
gene354	---NA---			
gene355	---NA---			
gene366	---NA---			
gene371	---NA---	nucleic acid binding;zinc ion binding		
gene395	---NA---			
gene422	---NA---			
gene439	---NA---			
gene449	---NA---			
gene462	---NA---			
gene465	---NA---			
gene456	---NA---			
gene476	---NA---			
gene477	---NA---			
gene494	---NA---			
gene499	---NA---			
gene15034	---NA---			
gene15035	---NA---			
gene14884	---NA---			
gene9337	---NA---			
gene9342	---NA---			
gene9354	---NA---			
gene9358	---NA---			
gene9357	---NA---			
gene9366	---NA---			
gene9368	---NA---			
gene16598	---NA---			
gene3016	---NA---			
gene3026	---NA---			
gene14720	---NA---			
gene7556	---NA---			
gene7574	---NA---			
gene7578	---NA---			
gene7579	---NA---			
gene13612	---NA---			
gene13616	---NA---			
gene13621	---NA---			
gene13625	---NA---			
gene13623	---NA---			
gene13631	---NA---			
gene13659	---NA---			
gene16280	---NA---			
gene6625	---NA---			
gene6652	---NA---			
gene6669	---NA---			
gene6719	---NA---			
gene6742	---NA---			
gene8325	---NA---			
gene8357	---NA---			
gene8367	---NA---			
gene8368	---NA---			
gene12929	---NA---			
gene12527	---NA---			
gene12550	---NA---			
gene12551	---NA---			
gene12556	---NA---			
gene14210	---NA---			
gene14214	---NA---			
gene14216	---NA---			
gene14218	---NA---			
gene14246	---NA---			
gene3515	---NA---			
gene3518	---NA---			
gene3521	---NA---			
gene3538	---NA---			
gene3599	---NA---			
gene3649	---NA---			
gene3652	---NA---			
gene3654	---NA---			
gene17728	---NA---			
gene3669	---NA---			
gene16254	---NA---			
gene16261	---NA---			
gene16267	---NA---			
gene16268	---NA---			
gene16270	---NA---			
gene7346	---NA---			
gene7352	---NA---			
gene7357	---NA---			
gene7361	---NA---			
gene7368	---NA---			
gene7369	---NA---			
gene7415	---NA---			
gene11977	---NA---			
gene12002	---NA---			
gene12015	---NA---			
gene12016	---NA---			
gene11516	---NA---			
gene17463	---NA---			
gene11520	---NA---			
gene10807	---NA---			
gene10808	---NA---			
gene10818	---NA---			
gene10834	---NA---			
gene11665	---NA---			
gene11307	---NA---			
gene11326	---NA---			
gene11347	---NA---			
gene11352	---NA---			
gene11353	---NA---			
gene10758	---NA---			
gene10799	---NA---			
gene15108	---NA---			
gene15113	---NA---			
